Dep,Nom,Population 2010,Surface en km²,Longitude,Latitude
2,Jumigny,69,2.49,3.71667,49.4167
2,Chaourse,535,18.6,4,49.7
2,Saint-Rémy-Blanzy,234,13.99,3.3,49.2333
2,Beaumont-en-Beine,161,5.41,3.13333,49.7
2,Le Plessier-Huleu,76,5.2,3.35,49.2333
2,Estrées,416,7.04,3.28333,49.9667
2,Baulne-en-Brie,288,18.89,3.61667,48.9833
2,Guivry,263,7.15,3.11667,49.65
2,Variscourt,214,5.56,3.98333,49.4167
2,Châtillon-sur-Oise,129,2.62,3.4,49.7833
2,Soissons,28646,12.32,3.33333,49.3667
2,Bray-Saint-Christophe,80,2.88,3.15,49.7667
2,Le Hérie-la-Viéville,239,9.27,3.63333,49.8167
2,Aubenton,713,23.7,4.2,49.8333
2,Braye,120,1.34,3.36667,49.4333
2,Brissay-Choigny,317,8.98,3.36667,49.7167
2,Remaucourt,319,6.35,3.33333,49.9
2,Seraucourt-le-Grand,789,10.56,3.21667,49.7833
2,Berry-au-Bac,575,8.1,3.9,49.4
2,Vivaise,768,9.02,3.56667,49.6167
2,Proviseux-et-Plesnoy,116,11.21,4,49.4667
2,Caumont,562,5.71,3.18333,49.6167
2,Villers-le-Sec,277,10.57,3.5,49.7833
2,Vichel-Nanteuil,95,6.39,3.28333,49.1833
2,Romery,84,3.96,3.73333,49.9
2,Fontaine-lès-Clercs,289,5.33,3.21667,49.8
2,Chéry-lès-Pouilly,673,17.22,3.6,49.65
2,Pithon,75,2.44,3.1,49.75
2,Beaurieux,793,9.69,3.73333,49.4
2,Sinceny,2152,13.13,3.25,49.6
2,Bouffignereux,103,4.36,3.85,49.3667
2,Saint-Gengoulph,149,7.57,3.21667,49.1167
2,Pargny-les-Bois,136,6.83,3.61667,49.7167
2,Montigny-l'Allier,272,10.14,3.1,49.1167
2,Beuvardes,721,15.66,3.48333,49.15
2,Cuissy-et-Geny,66,4.97,3.7,49.4167
2,Reuilly-Sauvigny,229,6.54,3.55,49.0667
2,Vailly-sur-Aisne,2081,9.97,3.51667,49.4167
2,Bièvres,73,2.64,3.71667,49.5
2,Berny-Rivière,613,7.87,3.15,49.4167
2,Perles,80,3.7,3.65,49.3167
2,Fontenelle-en-Brie,210,8.47,3.48333,48.9167
2,Neuflieux,95,1.9,3.16667,49.6
2,Sainte-Croix,139,3.35,3.78333,49.4833
2,Pargny-la-Dhuys,170,12.66,3.55,48.95
2,Brenelle,199,4.34,3.53333,49.3667
2,Urvillers,610,13.69,3.31667,49.7833
2,Laversine,152,7.22,3.16667,49.35
2,Origny-Sainte-Benoite,1726,23.3,3.5,49.8333
2,Cuiry-Housse,107,8.54,3.48333,49.3
2,La Neuville-lès-Dorengt,385,10.88,3.68333,49.9667
2,Blanzy-lès-Fismes,91,5.27,3.66667,49.3333
2,Hargicourt,557,8.12,3.18,49.9623
2,Villers-sur-Fère,486,10.79,3.53333,49.1833
2,La Hérie,153,4.22,4.05,49.8833
2,Bonnesvalyn,242,6.34,3.31667,49.1167
2,Haution,147,9.34,3.83333,49.85
2,Berzy-le-Sec,396,11.69,3.31667,49.3333
2,La Vallée-au-Blé,347,5.17,3.78333,49.8667
2,Le Catelet,194,0.41,3.25,50
2,Gizy,684,10.25,3.76667,49.6
2,Saint-Algis,159,6.89,3.81667,49.8833
2,Saint-Aubin,322,8.36,3.18333,49.5167
2,Bancigny,28,3.32,4.01667,49.8
2,Villeneuve-sur-Fère,286,10.3,3.46667,49.1833
2,Fleury,129,6.51,3.15639,49.2581
2,Quincy-sous-le-Mont,66,5.04,3.55,49.3
2,Besny-et-Loizy,372,9.76,3.58333,49.6
2,Chéry-lès-Rozoy,105,4.73,4.08333,49.7167
2,Chauny,11983,13.28,3.21667,49.6167
